"Saint Francis (NY)","Syracuse"
"Radford","American University"
"Coast Guard","Army"
"FDU Madison","Rutgers"
"North Carolina A&T","Duquesne"
"Saint Peter's","Boston College"
"Warren Wilson","High Point"
"Oakland MI","Michigan State"
"Yale","Cleveland St."
"East Tennessee State","Tennessee"
"Jackson State","Davidson College"
"Jacksonville State","Auburn"
"California Santa Barbara","Pepperdine"
"Georgia","Minnesota"
"Loyola (Chicago)","Stephen F Austin"
"Colorado","South Florida"
"South Carolina State","Western Carolina"
"Wisconsin Green Bay","Gonzaga"
"Carroll MT","Montana"
"New Mexico State","Saint Mary's CA"
"Saint Joseph's PA","Vanderbilt"
"Howard University","Cal State Northridge"
"St. Bonaventure","Fresno State"
"San Francisco","Stanford"
"Wisconsin Milwaukee","Iowa"
"Santa Clara","Alaska Fairbanks"
"Louisville","Maryland"
"Portland State","Washington State"
"California San Diego","California Poly State"
"Southern Colorado","Oregon State"
"Arizona","Chaminade"
"Dayton","Connecticut"
"Savannah State","Georgia St."
"Massachusetts","Marquette"
"Virginia Military","James Madison"
"Slippery Rock","Youngstown State"
"Towson State","Morgan State"
"Hampton","Eastern Michigan"
"William & Mary","Virginia Tech"
"George Mason","Drexel"
"Robert Morris College","Appalachian State"
"Wayne State MI","Detroit"
"Limestone","Citadel"
"Old Dominion","George Washington"
"Wake Forest","Richmond"
"Delaware State","Delaware"
"Huntington (IN)","Morehead State"
"Northeastern","Navy"
"Morris Brown College","Pittsburgh"
"Tennessee Tech","South Carolina State"
"Coastal Carolina","Virginia"
"North Texas","Texas A&M"
"Virginia Commonwealth","Tulane"
"Troy State","Alabama"
"Southwest College","Arkansas State"
"Mercer","Auburn"
"Louisiana Monroe","LSU"
"Gardner-Webb University","Murray State"
"Alabama State","Texas Christian"
"Bethel TN","Tennessee Martin"
"Middle Tennessee State","Tennessee State"
"Prairie View","Texas A&M Corpus Chris"
"College of Charleston","Tennessee Chattanooga"
"Boise State","Kansas"
"Rhode Island","Tulsa"
"Western Illinois","Creighton"
"Butler University","Birmingham Southern"
"Loyola MD","MD Baltimore County"
"Weber State College","Southern Utah"
"Montana State Bozeman","Nevada Reno"
"UNLV","Illinois"
"Mercyhurst College","Kent State"
"Morningside","Iowa State"
"Colgate","Arizona State"
"Evergreen St.","Eastern Washington"
"Louisville","UNLV"
"Radford","Siena College"
"San Francisco","California Santa Barbara"
"San Jose State","California Riverside"
"Connecticut","Chaminade"
"Wright St.","Northern Illinois"
"Evansville","Bowling Green State"
"Western Michigan","Michigan"
"American University","West Virginia"
"High Point","Brown University"
"Southeast Louisiana","Florida A&M"
"Holy Cross College","Harvard"
"Illinois","Maryland"
"Lenoir-Rhyne College","North Carolina Asheville"
"Guilford College","NC Greensboro"
"Albany NY","Niagara"
